X	Predicted.sequence.orientation	Kingdom	Kingdom.certainty	Phylum	Phylum.certainty	Class	Class.certainty	Order	Order.certainty	Family	Family.certainty	Genus	Genus.certainty	Species	Species.certainty
ASV_1	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_2	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_3	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_4	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_5	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	88%
ASV_6	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_7	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	88%
ASV_8	-	Fungi	100%	Basidiomycota	93%	Agaricomycetes	92%	Agaricomycetes_unidentified	56%	Agaricomycetes_unidentified_1	56%	Agaricomycetes_unidentified_1	56%	Agaricomycetes_sp|SH199701.06FU	56%
ASV_9	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	90%
ASV_10	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	90%
ASV_11	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_12	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_13	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellales_unidentified	40%	Mortierellales_unidentified_1	40%	Mortierellales_sp|SH228362.06FU	40%
ASV_14	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_15	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_16	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	88%
ASV_17	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_18	-	Fungi	100%	Basidiomycota	81%	Agaricomycetes	77%	Agaricomycetes_unidentified	33%	Agaricomycetes_unidentified_1	33%	Agaricomycetes_unidentified_1	33%	Agaricomycetes_sp|SH218253.06FU	33%
ASV_19	-	Fungi	100%	Zygomycota	57%	Incertae_sedis_10	57%	Mortierellales	57%	Mortierellaceae	56%	Mortierella	56%	Mortierella_sp|SH214852.06FU	41%
ASV_20	+	Fungi	100%	Zygomycota	59%	Incertae_sedis_10	59%	Mortierellales	59%	Mortierellaceae	59%	Mortierella	59%	Mortierella_sp|SH214852.06FU	46%
