	CS1-Fungus	CS2-Fungus	CS3-Fungus	FS1-Fungus	FS2-Fungus	FS3-Fungus	SC1-Fungus	SC2-Fungus	SC3-Fungus	WS1-Fungus	WS2-Fungus	WS3-Fungus
ASV_1	6079	21730	26175	4681	4864	3531	4333	4392	8319	10821	8250	15911
ASV_2	4964	19088	22933	3654	4360	2562	1734	1706	6377	9234	8620	17358
ASV_3	17297	4035	26393	2268	4437	3707	806	826	21911	888	1574	1064
ASV_4	5943	15837	23163	1255	2636	1051	1124	1251	1324	5737	6337	16106
ASV_5	5402	14204	20878	1322	2560	739	760	848	911	5306	7870	18791
ASV_6	16914	3509	25577	1629	4033	3400	185	173	17009	718	1461	1560
ASV_7	1343	2272	3579	34443	1146	1896	606	624	430	539	2039	1319
ASV_8	3000	9784	11252	4446	5338	2262	1891	1978	1782	1035	2351	2453
ASV_9	59	210	594	11148	8444	9212	3858	3672	4167	481	489	630
ASV_10	1052	1792	3653	27022	1068	1756	258	231	454	816	2007	1422
ASV_11	203	644	1169	24	139	69	11970	12782	1959	8297	2007	2063
ASV_12	1648	3185	3956	5223	5843	3549	2858	2892	3032	1199	2161	3494
ASV_13	2288	8761	9653	3476	4607	1535	937	1097	1249	944	1646	2398
ASV_14	1385	2741	3226	4442	6505	2525	1396	1364	2931	1295	2222	4687
ASV_15	244	619	863	40	124	47	6842	7297	1538	7989	2808	2538
ASV_16	90	286	563	8933	7236	7897	72	50	3092	366	790	776
ASV_17	5127	14759	7551	0	65	0	633	701	551	175	345	129
ASV_18	1081	3225	2939	397	324	224	3674	3856	6245	0	1680	3157
ASV_19	1923	3960	6271	668	388	139	1213	1173	1116	2803	2523	3018
ASV_20	1361	1539	2998	716	1054	672	3114	3206	7328	854	1432	780
ASV_21	1663	7761	7644	72	181	66	900	961	685	1739	1777	1207
ASV_22	1108	2686	3259	436	786	731	2297	2399	3964	1961	1578	2951
ASV_23	1042	2351	3012	428	795	504	2681	2492	3286	2074	1819	3659
ASV_24	1009	3958	1773	1083	3176	2498	1333	1477	2854	1858	1037	1746
ASV_25	3442	11565	7010	0	57	0	114	144	311	101	266	86
ASV_26	339	1281	1899	5510	2515	4047	2267	2293	1467	215	507	717
ASV_27	1711	3833	5504	453	443	140	618	657	706	2546	2586	3393
ASV_28	9	0	69	7589	9490	4683	39	42	33	0	0	20
ASV_29	0	0	36	6922	10242	3936	11	14	12	0	0	0
ASV_30	14304	667	613	1251	2813	766	37	36	64	199	156	167
ASV_31	1256	6654	6691	155	117	0	304	315	530	1620	1785	1097
ASV_32	595	2307	2177	209	632	374	861	870	2469	2734	2657	4577
ASV_33	13024	559	655	1273	2715	493	0	9	24	226	142	153
ASV_34	290	330	641	1078	1291	676	4500	4428	4273	375	666	519
